PMMA AvgEnergyPrim DLET DLETPrim DLETProt TLET TLETPrim TLETProt dZ2Beta2 dZ2Beta2Prim dZ2Beta2Prot dZeff2Beta2 dZeff2Beta2Prim dZeff2Beta2Prot tZeff2Beta2 tZeff2Beta2Prim tZeff2Beta2Prot
4.32 3.498500e+00 2.048177e+02 2.032502e+02 2.048177e+02 1.376003e+02 1.373668e+02 1.376003e+02 6.837887e+02 6.810347e+02 6.837887e+02 4.706630e+02 4.663904e+02 4.706630e+02 1.298656e+02 2.466985e+02 2.474025e+02
4.32 3.421405e+00 2.112908e+02 2.104577e+02 2.112908e+02 1.409982e+02 1.408915e+02 1.409982e+02 7.983146e+02 7.901091e+02 7.983146e+02 5.128315e+02 5.087801e+02 5.128315e+02 1.374550e+02 2.655670e+02 2.666963e+02
4.32 3.485285e+00 2.035430e+02 2.030682e+02 2.035430e+02 1.387890e+02 1.385740e+02 1.387890e+02 6.290659e+02 6.335238e+02 6.290659e+02 4.497624e+02 4.505559e+02 4.497624e+02 1.311473e+02 2.446662e+02 2.447430e+02
4.32 3.522478e+00 2.374247e+02 2.015280e+02 2.026321e+02 1.372526e+02 1.364283e+02 1.364264e+02 1.130705e+03 6.760940e+02 6.772637e+02 5.896856e+02 4.602559e+02 4.630367e+02 1.322145e+02 2.447015e+02 2.448379e+02
4.32 3.455920e+00 2.023604e+02 2.013180e+02 2.023604e+02 1.383723e+02 1.383326e+02 1.383723e+02 6.966407e+02 6.873719e+02 6.966407e+02 4.661632e+02 4.614721e+02 4.661632e+02 1.296424e+02 2.498448e+02 2.509269e+02
4.32 3.514516e+00 2.017384e+02 2.004028e+02 2.017384e+02 1.373046e+02 1.369891e+02 1.373046e+02 6.605788e+02 6.435918e+02 6.605788e+02 4.534388e+02 4.464652e+02 4.534388e+02 1.264886e+02 2.431803e+02 2.456435e+02
4.32 3.467091e+00 2.094553e+02 2.079867e+02 2.094553e+02 1.404055e+02 1.397944e+02 1.404055e+02 6.927715e+02 6.735597e+02 6.927715e+02 4.812392e+02 4.731229e+02 4.812392e+02 1.328257e+02 2.513917e+02 2.546629e+02
4.32 3.516294e+00 2.045026e+02 2.044603e+02 2.045026e+02 1.379902e+02 1.383322e+02 1.379902e+02 6.591408e+02 6.611935e+02 6.591408e+02 4.622195e+02 4.627766e+02 4.622195e+02 1.261338e+02 2.469563e+02 2.461401e+02
4.32 3.448318e+00 2.028555e+02 2.008452e+02 2.028555e+02 1.389844e+02 1.385397e+02 1.389844e+02 6.355699e+02 6.138114e+02 6.355699e+02 4.492473e+02 4.390747e+02 4.492473e+02 1.271523e+02 2.429281e+02 2.460805e+02
4.32 3.474432e+00 2.076975e+02 2.052260e+02 2.076975e+02 1.391673e+02 1.384870e+02 1.391673e+02 7.246215e+02 6.910507e+02 7.246215e+02 4.876434e+02 4.731225e+02 4.876434e+02 1.317680e+02 2.500029e+02 2.547975e+02
4.32 3.529014e+00 2.063512e+02 2.050059e+02 2.055740e+02 1.374315e+02 1.371455e+02 1.371806e+02 7.317195e+02 7.353813e+02 7.317742e+02 4.845195e+02 4.841539e+02 4.839586e+02 1.325399e+02 2.520741e+02 2.519113e+02
4.32 3.476343e+00 2.076221e+02 2.057615e+02 2.076221e+02 1.394819e+02 1.391169e+02 1.394819e+02 6.848541e+02 6.722823e+02 6.848541e+02 4.761976e+02 4.687219e+02 4.761976e+02 1.289088e+02 2.494470e+02 2.514674e+02
4.32 3.478667e+00 2.066969e+02 2.048877e+02 2.066969e+02 1.394659e+02 1.390702e+02 1.394659e+02 6.503530e+02 6.386616e+02 6.503530e+02 4.634741e+02 4.565286e+02 4.634741e+02 1.331152e+02 2.456953e+02 2.477610e+02
4.32 3.467904e+00 2.053797e+02 2.039838e+02 2.053797e+02 1.383994e+02 1.381447e+02 1.383994e+02 6.974441e+02 6.872307e+02 6.974441e+02 4.761432e+02 4.703739e+02 4.761432e+02 1.339987e+02 2.486544e+02 2.502559e+02
4.32 3.509667e+00 2.057484e+02 2.052746e+02 2.057484e+02 1.376339e+02 1.377221e+02 1.376339e+02 6.995990e+02 6.989975e+02 6.995990e+02 4.751928e+02 4.736087e+02 4.751928e+02 1.273624e+02 2.499070e+02 2.496897e+02
4.32 3.441892e+00 2.054382e+02 2.050344e+02 2.054382e+02 1.390423e+02 1.395528e+02 1.390423e+02 7.223741e+02 7.156246e+02 7.223741e+02 4.796145e+02 4.767260e+02 4.796145e+02 1.358399e+02 2.550703e+02 2.547551e+02
4.3 3.820335e+00 1.872624e+02 1.868961e+02 1.872624e+02 1.273045e+02 1.272874e+02 1.273045e+02 5.999115e+02 5.966045e+02 5.999115e+02 4.135141e+02 4.119122e+02 4.135141e+02 1.557538e+02 2.188927e+02 2.192578e+02
4.3 3.830636e+00 1.948523e+02 1.945331e+02 1.948523e+02 1.282927e+02 1.280807e+02 1.282927e+02 6.778395e+02 6.768384e+02 6.778395e+02 4.547884e+02 4.540783e+02 4.547884e+02 1.626926e+02 2.273728e+02 2.279550e+02
4.3 3.748997e+00 1.980768e+02 1.963743e+02 1.980768e+02 1.320411e+02 1.313749e+02 1.320411e+02 6.365220e+02 6.271479e+02 6.365220e+02 4.438253e+02 4.379865e+02 4.438253e+02 1.644864e+02 2.300600e+02 2.322824e+02
4.3 3.817326e+00 1.900833e+02 1.884076e+02 1.900833e+02 1.283377e+02 1.277688e+02 1.283377e+02 5.987252e+02 5.886492e+02 5.987252e+02 4.184008e+02 4.125007e+02 4.184008e+02 1.570894e+02 2.192988e+02 2.214211e+02
4.3 3.746635e+00 1.936308e+02 1.925621e+02 1.936308e+02 1.305049e+02 1.301367e+02 1.305049e+02 6.395155e+02 6.320915e+02 6.395155e+02 4.360785e+02 4.321191e+02 4.360785e+02 1.633414e+02 2.280167e+02 2.295026e+02
4.3 3.811601e+00 1.968901e+02 1.947947e+02 1.968901e+02 1.298161e+02 1.291065e+02 1.298161e+02 6.515137e+02 6.415541e+02 6.515137e+02 4.495308e+02 4.428457e+02 4.495308e+02 1.617181e+02 2.262867e+02 2.287149e+02
4.3 3.837914e+00 1.923662e+02 1.906368e+02 1.923662e+02 1.282837e+02 1.278463e+02 1.282837e+02 6.408935e+02 6.213518e+02 6.408935e+02 4.355533e+02 4.267056e+02 4.355533e+02 1.590671e+02 2.224220e+02 2.251959e+02
4.3 3.757535e+00 2.031543e+02 2.018160e+02 2.031543e+02 1.329179e+02 1.324414e+02 1.329179e+02 6.664965e+02 6.568392e+02 6.664965e+02 4.650884e+02 4.598200e+02 4.650884e+02 1.699611e+02 2.347677e+02 2.366947e+02
4.3 3.783744e+00 1.965457e+02 1.951672e+02 1.965457e+02 1.302795e+02 1.298519e+02 1.302795e+02 6.854590e+02 6.769764e+02 6.854590e+02 4.571266e+02 4.521682e+02 4.571266e+02 1.662781e+02 2.314281e+02 2.331633e+02
4.3 3.852830e+00 1.891932e+02 1.883188e+02 1.891932e+02 1.268218e+02 1.266713e+02 1.268218e+02 6.301434e+02 6.156515e+02 6.301434e+02 4.278589e+02 4.221346e+02 4.278589e+02 1.554663e+02 2.192462e+02 2.209287e+02
4.3 3.823911e+00 1.977571e+02 1.977421e+02 1.977571e+02 1.299348e+02 1.297021e+02 1.299348e+02 7.016451e+02 7.046325e+02 7.016451e+02 4.629222e+02 4.642685e+02 4.629222e+02 1.670831e+02 2.341083e+02 2.343787e+02
4.3 3.767841e+00 1.933843e+02 1.918549e+02 1.933843e+02 1.307002e+02 1.300801e+02 1.307002e+02 5.931742e+02 5.789594e+02 5.931742e+02 4.222857e+02 4.155818e+02 4.222857e+02 1.568647e+02 2.230474e+02 2.256958e+02
4.3 3.812867e+00 1.949446e+02 1.915014e+02 1.930320e+02 1.287370e+02 1.281981e+02 1.285440e+02 7.565621e+02 6.626924e+02 6.762955e+02 4.634881e+02 4.405612e+02 4.473122e+02 1.633986e+02 2.268376e+02 2.288661e+02
4.3 3.769300e+00 1.961142e+02 1.923344e+02 1.961142e+02 1.308302e+02 1.296857e+02 1.308302e+02 6.908711e+02 6.693903e+02 6.908711e+02 4.562866e+02 4.422628e+02 4.562866e+02 1.665185e+02 2.307200e+02 2.349975e+02
4.3 3.739438e+00 2.010004e+02 1.989726e+02 2.010144e+02 1.325860e+02 1.318281e+02 1.326079e+02 6.837968e+02 6.651020e+02 6.838534e+02 4.651295e+02 4.560864e+02 4.651668e+02 1.701932e+02 2.341386e+02 2.375646e+02
4.3 3.827014e+00 1.938559e+02 1.917570e+02 1.938719e+02 1.288309e+02 1.283428e+02 1.288410e+02 6.151666e+02 5.974552e+02 6.152387e+02 4.324450e+02 4.230880e+02 4.324919e+02 1.595514e+02 2.209288e+02 2.236166e+02
4.3 3.803352e+00 1.978152e+02 1.975865e+02 1.978152e+02 1.299441e+02 1.298303e+02 1.299441e+02 7.103534e+02 7.098184e+02 7.103534e+02 4.658563e+02 4.654289e+02 4.658563e+02 1.651252e+02 2.349495e+02 2.352905e+02
4.3 3.773586e+00 1.985453e+02 1.970952e+02 1.985571e+02 1.305555e+02 1.303245e+02 1.305786e+02 6.775374e+02 6.620518e+02 6.775814e+02 4.587331e+02 4.514415e+02 4.587624e+02 1.647222e+02 2.309224e+02 2.329396e+02
4.3 3.810870e+00 1.975485e+02 1.962945e+02 1.975485e+02 1.297659e+02 1.293327e+02 1.297659e+02 6.532893e+02 6.533206e+02 6.532893e+02 4.509583e+02 4.486440e+02 4.509583e+02 1.646633e+02 2.280237e+02 2.289400e+02
4.3 3.824383e+00 1.950297e+02 1.943894e+02 1.950297e+02 1.287585e+02 1.284822e+02 1.287585e+02 6.814980e+02 6.800635e+02 6.814980e+02 4.528354e+02 4.513877e+02 4.528354e+02 1.634092e+02 2.291485e+02 2.298840e+02
4.3 3.839465e+00 1.986362e+02 1.895133e+02 1.902604e+02 1.279511e+02 1.274294e+02 1.277664e+02 1.420124e+03 6.201842e+02 6.181003e+02 4.885601e+02 4.239744e+02 4.246365e+02 1.582670e+02 2.215388e+02 2.220509e+02
4.3 3.842072e+00 1.902936e+02 1.889141e+02 1.902936e+02 1.277796e+02 1.272879e+02 1.277796e+02 6.231790e+02 6.090697e+02 6.231790e+02 4.267422e+02 4.202930e+02 4.267422e+02 1.565428e+02 2.201920e+02 2.225587e+02
4.3 3.829120e+00 2.001225e+02 1.975356e+02 2.001225e+02 1.299879e+02 1.294623e+02 1.299879e+02 7.106409e+02 6.826305e+02 7.106409e+02 4.725945e+02 4.591971e+02 4.725945e+02 1.651754e+02 2.313178e+02 2.350017e+02
4.3 3.845237e+00 1.928517e+02 1.913837e+02 1.928517e+02 1.286096e+02 1.280718e+02 1.286096e+02 6.188242e+02 6.055846e+02 6.188242e+02 4.304227e+02 4.242629e+02 4.304227e+02 1.606486e+02 2.213487e+02 2.237549e+02
4.3 3.880084e+00 1.901115e+02 1.887754e+02 1.901115e+02 1.264527e+02 1.258776e+02 1.264527e+02 6.566173e+02 6.442338e+02 6.566173e+02 4.384603e+02 4.327826e+02 4.384603e+02 1.578051e+02 2.201638e+02 2.225263e+02
4.3 3.829517e+00 2.259590e+02 1.928922e+02 1.940336e+02 1.290285e+02 1.275781e+02 1.281994e+02 5.933205e+03 7.232018e+02 7.213954e+02 7.164029e+02 4.610645e+02 4.626366e+02 1.718302e+02 2.310498e+02 2.321319e+02
4.3 3.868803e+00 1.988664e+02 1.973843e+02 1.988664e+02 1.291444e+02 1.286425e+02 1.291444e+02 6.888355e+02 6.805425e+02 6.888355e+02 4.635812e+02 4.585939e+02 4.635812e+02 1.643776e+02 2.293135e+02 2.311695e+02
4.3 3.861348e+00 1.885037e+02 1.875198e+02 1.885037e+02 1.268441e+02 1.265470e+02 1.268441e+02 5.995657e+02 5.862145e+02 5.995657e+02 4.167714e+02 4.113145e+02 4.167714e+02 1.566294e+02 2.163953e+02 2.182538e+02
4.3 3.786233e+00 1.946089e+02 1.922334e+02 1.946089e+02 1.299714e+02 1.291491e+02 1.299714e+02 6.232125e+02 6.026163e+02 6.232125e+02 4.348508e+02 4.244065e+02 4.348508e+02 1.628269e+02 2.230344e+02 2.266355e+02
4.3 3.793395e+00 1.949348e+02 1.939138e+02 1.949348e+02 1.296952e+02 1.293423e+02 1.296952e+02 6.464577e+02 6.421698e+02 6.464577e+02 4.427929e+02 4.397459e+02 4.427929e+02 1.613025e+02 2.270590e+02 2.282311e+02
